Implement;GivenName;LastName;Initials;OfficeName;Description;Mail;StreetAddress;City;PostalCode;State;Country;Company;Department;EmployeeID;ExtensionAttribute1;Title;Phone;ProfilePath;ScriptPath;HomeDirectory;HomeDrive;Password;PasswordNeverExpires;Enabled;TargetOU
Yes;Jeroen;Moos;JMO;Offices;;;;Temse;9140;;Belgium;Moos;Directie;;;;;;;;;sdf12345;False;True;OU=RaadVanBestuur, OU=Marketing
Yes;Piet;Huysenbrouwer;PHU;Offices;;;;Temse;9140;;Belgium;Moos;Onderzoek;;;;;;;;;sdf12345;False;True;OU=RaadVanBestuur,OU=Onderzoek
Yes;Angela;Moos;AMO;Offices;;;;Temse;9140;;Belgium;Moos;Productie;;;;;;;;;sdf12345;False;True;OU=RaadVanBestuur,OU=Productie
Yes;Hop;Karlsberg;HKA;Offices;;;;Temse;9140;;Belgium;Moos;Logistiek;;;;;;;;;sdf12345;False;True;OU=RaadVanBestuur,OU=Logistiek
Yes;Productiemedewerker 1;;W1;Brouwerij;Teamleader dagshift;;;Temse;9140;;Belgium;Moos;Productie;;;;;;;;;sdf12345;False;True;OU=Productie
Yes;Productiemedewerker 2;;W2;Brouwerij;Teamleader nachtshift;;;Temse;9140;;Belgium;Moos;Productie;;;;;;;;;sdf12346;False;True;OU=Productie
Yes;Productiemedewerker 3;;W3;Brouwerij;;;;Temse;9140;;Belgium;Moos;Productie;;;;;;;;;sdf12347;False;True;OU=Productie
Yes;Productiemedewerker 4;;W4;Brouwerij;;;;Temse;9140;;Belgium;Moos;Productie;;;;;;;;;sdf12348;False;True;OU=Productie
Yes;Productiemedewerker 5;;W5;Brouwerij;;;;Temse;9140;;Belgium;Moos;Productie;;;;;;;;;sdf12349;False;True;OU=Productie
Yes;Productiemedewerker 6;;W6;Brouwerij;;;;Temse;9140;;Belgium;Moos;Productie;;;;;;;;;sdf12350;False;True;OU=Productie
Yes;Productiemedewerker 7;;W7;Brouwerij;;;;Temse;9140;;Belgium;Moos;Productie;;;;;;;;;sdf12351;False;True;OU=Productie
Yes;Productiemedewerker 8;;W8;Brouwerij;;;;Temse;9140;;Belgium;Moos;Productie;;;;;;;;;sdf12352;False;True;OU=Productie
Yes;Productiemedewerker 9;;W9;Brouwerij;;;;Temse;9140;;Belgium;Moos;Productie;;;;;;;;;sdf12353;False;True;OU=Productie
Yes;Productiemedewerker 10;;W10;Brouwerij;;;;Temse;9140;;Belgium;Moos;Productie;;;;;;;;;sdf12354;False;True;OU=Productie
Yes;Productiemedewerker 11;;W11;Brouwerij;;;;Temse;9140;;Belgium;Moos;Productie;;;;;;;;;sdf12355;False;True;OU=Productie
Yes;Productiemedewerker 12;;W12;Brouwerij;;;;Temse;9140;;Belgium;Moos;Productie;;;;;;;;;sdf12356;False;True;OU=Productie
Yes;Productiemedewerker 13;;W13;Brouwerij;;;;Temse;9140;;Belgium;Moos;Productie;;;;;;;;;sdf12357;False;True;OU=Productie
Yes;Productiemedewerker 14;;W14;Brouwerij;;;;Temse;9140;;Belgium;Moos;Productie;;;;;;;;;sdf12358;False;True;OU=Productie
Yes;Productiemedewerker 15;;W15;Brouwerij;;;;Temse;9140;;Belgium;Moos;Productie;;;;;;;;;sdf12359;False;True;OU=Productie
Yes;Productiemedewerker 16;;W16;Brouwerij;;;;Temse;9140;;Belgium;Moos;Productie;;;;;;;;;sdf12360;False;True;OU=Productie
Yes;Productiemedewerker 17;;W17;Brouwerij;;;;Temse;9140;;Belgium;Moos;Productie;;;;;;;;;sdf12361;False;True;OU=Productie
Yes;Productiemedewerker 18;;W18;Brouwerij;;;;Temse;9140;;Belgium;Moos;Productie;;;;;;;;;sdf12362;False;True;OU=Productie
Yes;Productiemedewerker 19;;W19;Brouwerij;;;;Temse;9140;;Belgium;Moos;Productie;;;;;;;;;sdf12363;False;True;OU=Productie
Yes;Productiemedewerker 20;;W20;Brouwerij;;;;Temse;9140;;Belgium;Moos;Productie;;;;;;;;;sdf12364;False;True;OU=Productie
Yes;Productiemedewerker 21;;W21;Brouwerij;;;;Temse;9140;;Belgium;Moos;Productie;;;;;;;;;sdf12365;False;True;OU=Productie
Yes;Productiemedewerker 22;;W22;Brouwerij;;;;Temse;9140;;Belgium;Moos;Productie;;;;;;;;;sdf12366;False;True;OU=Productie
Yes;Productiemedewerker 23;;W23;Brouwerij;;;;Temse;9140;;Belgium;Moos;Productie;;;;;;;;;sdf12367;False;True;OU=Productie
Yes;Productiemedewerker 24;;W24;Brouwerij;;;;Temse;9140;;Belgium;Moos;Productie;;;;;;;;;sdf12368;False;True;OU=Productie
Yes;Productiemedewerker 25;;W25;Brouwerij;;;;Temse;9140;;Belgium;Moos;Productie;;;;;;;;;sdf12369;False;True;OU=Productie
Yes;Productiemedewerker 26;;W26;Brouwerij;;;;Temse;9140;;Belgium;Moos;Productie;;;;;;;;;sdf12370;False;True;OU=Productie
Yes;Productiemedewerker 27;;W27;Brouwerij;;;;Temse;9140;;Belgium;Moos;Productie;;;;;;;;;sdf12371;False;True;OU=Productie
